age,gender,marital_status,education,employment_status,years_employed,annual_income,monthly_income,credit_score,credit_history_length,num_credit_accounts,existing_debt,monthly_debt_payments,debt_to_income_ratio,loan_amount,loan_term_months,loan_purpose,owns_property,property_value,has_bank_account,years_with_bank,previous_loans,previous_loan_defaults,state,area_type,has_coapplicant,coapplicant_income,total_household_income,loan_approved,application_date
29,Male,Divorced,Some College,Self-employed,1.1,74953.86,6246.15,814.0,2.9,1,52487.6,1574.628067150773,0.252,38842.88,12,Auto,False,0.0,True,6.1,1,0,CA,Suburban,False,0.0,74953.85730143,1,2023-12-05 12:07:44.875501
29,Female,Single,High School,Retired,11.9,10232.72,852.73,477.0,24.0,6,11404.96,342.1486632058039,0.401,13405.0,48,Auto,True,182320.22,True,7.7,0,0,Other,Urban,False,0.0,10232.720699317657,1,2025-05-03 12:07:44.875501
37,Female,Single,Bachelor's,Self-employed,13.4,69228.31,5769.03,553.0,6.4,2,29737.78,892.1335048550809,0.155,24370.37,12,Auto,False,0.0,True,1.4,1,0,OH,Suburban,False,0.0,69228.30980636211,1,2024-11-12 12:07:44.875501
18,Female,Divorced,High School,Employed,0.3,40868.86,3405.74,717.0,21.2,3,57708.76,1731.262782080858,0.508,18024.37,24,Home Improvement,True,111767.13,True,29.0,0,0,OH,Urban,False,0.0,40868.86245322133,1,2023-10-09 12:07:44.875501
18,Male,Single,High School,Employed,4.5,55130.68,4594.22,676.0,9.3,3,4637.56,139.12673072661607,0.03,53029.37,96,Education,True,173441.06,True,9.4,2,0,CA,Urban,False,0.0,55130.67916615858,1,2023-10-07 12:07:44.875501
28,Male,Single,Advanced,Employed,4.2,93323.58,7776.96,676.0,20.9,0,23521.1,705.6330315093627,0.091,7170.87,84,Medical,True,129708.76,True,5.1,2,0,MI,Urban,False,0.0,93323.57551291765,1,2023-12-11 12:07:44.875501
22,Male,Single,High School,Unemployed,2.5,5113.55,426.13,716.0,3.1,4,59556.74,1786.7022404900365,2.0,56053.79,12,Education,True,427831.53,True,4.9,0,0,Other,Suburban,True,58966.252406969004,64079.80431621913,1,2024-04-17 12:07:44.875501
38,Female,Married,Advanced,Employed,5.0,74176.14,6181.34,671.0,0.8,2,5373.59,161.2077230475577,0.026,4385.59,24,Debt Consolidation,True,135690.47,False,0.0,2,0,GA,Suburban,False,0.0,74176.13692554338,1,2024-05-02 12:07:44.875501
24,Female,Married,Bachelor's,Employed,14.7,31929.78,2660.82,594.0,13.0,2,112101.74,3363.052080906572,1.264,36039.98,72,Debt Consolidation,False,0.0,True,1.4,0,0,Other,Suburban,False,0.0,31929.784785930726,1,2025-02-05 12:07:44.875501
18,Female,Single,Advanced,Employed,0.9,37209.38,3100.78,712.0,13.1,3,11356.55,340.69637385599873,0.11,15672.31,48,Debt Consolidation,True,154783.62,True,6.4,2,0,CA,Urban,False,0.0,37209.377718805306,1,2025-05-15 12:07:44.875501
52,Male,Single,High School,Employed,0.6,26468.95,2205.75,652.0,7.7,2,6132.36,183.970756048955,0.083,28822.97,36,Business,True,219449.61,True,0.5,1,0,TX,Rural,False,0.0,26468.94688376082,1,2023-10-04 12:07:44.875501
32,Male,Divorced,Bachelor's,Employed,0.2,71542.26,5961.86,605.0,6.9,4,45476.13,1364.2838004928578,0.229,22437.22,84,Home Improvement,True,200608.86,True,6.5,2,0,IL,Urban,False,0.0,71542.26199181414,1,2025-04-03 12:07:44.875501
35,Female,Married,Some College,Employed,2.3,46319.94,3859.99,719.0,19.7,3,15773.52,473.2055430374623,0.123,12542.99,96,Business,True,186768.49,True,6.0,1,0,Other,Suburban,False,0.0,46319.93870851145,1,2024-03-28 12:07:44.875501
18,Female,Married,Advanced,Self-employed,2.1,105102.11,8758.51,715.0,1.6,3,27768.0,833.0398712796277,0.095,26215.84,96,Home Improvement,False,0.0,True,3.1,1,0,OH,Urban,True,52545.57563936495,157647.6815503145,1,2025-07-03 12:07:44.875501
28,Male,Married,Some College,Employed,2.8,63050.45,5254.2,671.0,7.7,6,16814.37,504.43101090900717,0.096,18743.42,48,Auto,False,0.0,False,0.0,0,0,Other,Urban,False,0.0,63050.44921776149,1,2025-08-25 12:07:44.875501
36,Male,Single,Some College,Employed,3.5,31932.87,2661.07,821.0,0.4,7,25787.48,773.6242625607916,0.291,33570.68,36,Home Improvement,True,,True,5.6,1,0,FL,Rural,True,59520.337039662474,91453.20283427602,1,2025-03-18 12:07:44.875501
21,Male,Married,Advanced,Employed,7.1,65833.93,5486.16,782.0,1.2,4,900.24,27.007081802736273,0.005,9917.75,72,Debt Consolidation,False,0.0,True,4.0,1,0,FL,Suburban,False,0.0,65833.93251648688,1,2024-11-09 12:07:44.875501
39,Male,Single,Some College,Employed,2.5,44766.11,3730.51,750.0,4.6,3,10776.51,323.295169595825,0.087,32087.1,36,Personal,True,58540.81,True,2.6,1,0,Other,Urban,False,0.0,44766.11378369538,1,2024-04-19 12:07:44.875501
27,Male,Single,High School,Employed,2.0,34755.4,2896.28,850.0,13.8,3,26773.36,803.2008421441208,0.277,37961.74,12,Auto,True,133566.14,True,3.9,0,0,GA,Suburban,False,0.0,34755.39696601256,1,2024-12-09 12:07:44.875501
31,Female,Married,Some College,Employed,8.8,35372.83,2947.74,635.0,10.6,5,10799.61,323.988399899644,0.11,23376.36,84,Debt Consolidation,True,210230.48,True,0.4,1,0,Other,Urban,False,0.0,35372.82861855519,1,2025-05-02 12:07:44.875501
27,Male,Single,Bachelor's,Employed,9.5,81064.62,6755.39,603.0,29.2,3,37375.36,1121.2607855119788,0.166,5157.75,36,Auto,True,176333.82,True,0.6,1,0,IL,Suburban,True,32327.100973984037,113391.7220490273,0,2024-06-17 12:07:44.875501
57,Male,Widowed,Some College,Self-employed,1.3,55122.59,4593.55,736.0,0.4,0,81030.92,2430.92752458579,0.529,50984.63,60,Medical,True,323360.89,True,1.1,0,0,IL,Urban,False,0.0,55122.589297054816,1,2023-09-13 12:07:44.875501
34,Male,Single,Bachelor's,Employed,1.9,55289.19,4607.43,624.0,3.8,2,953.23,28.596911118109766,0.006,32004.83,96,Debt Consolidation,False,0.0,True,5.6,0,0,TX,Urban,False,0.0,55289.185348314895,1,2024-02-17 12:07:44.875501
22,Female,Divorced,High School,Employed,8.7,27155.56,2262.96,651.0,1.4,1,48330.45,1449.9135910442615,0.641,14183.93,60,Education,True,163627.28,True,2.3,3,0,Other,Urban,False,0.0,27155.557202102467,1,2025-08-21 12:07:44.875501
44,Female,Divorced,Bachelor's,Employed,0.4,69854.67,5821.22,551.0,0.3,1,4630.06,138.90189284478106,0.024,32407.82,96,Business,True,,True,1.9,3,0,Other,Suburban,False,0.0,69854.6734690971,1,2024-11-12 12:07:44.875501
20,Male,Single,Advanced,Self-employed,2.0,46640.65,3886.72,710.0,2.5,3,62324.61,1869.7382377883669,0.481,1000.0,12,Home Improvement,False,0.0,True,7.0,3,0,MI,Urban,True,42730.23450280615,89370.88047666008,1,2024-08-20 12:07:44.875501
37,Female,Married,Bachelor's,Employed,3.0,65007.92,5417.33,502.0,2.2,4,73339.01,2200.170405297531,0.406,42645.51,12,Personal,True,141695.05,False,0.0,2,0,CA,Suburban,True,13571.65247862523,78579.57411320823,1,2024-06-17 12:07:44.875501
18,Female,Single,Bachelor's,Employed,1.0,65609.05,5467.42,640.0,4.4,2,21051.6,631.547993833378,0.116,56867.3,48,Debt Consolidation,False,0.0,True,2.9,0,0,FL,Suburban,True,28408.420019566518,94017.4659407801,0,2024-02-13 12:07:44.875501
19,Male,Divorced,High School,Employed,1.0,33399.76,2783.31,648.0,1.2,2,16300.71,489.021377483655,0.176,37361.34,60,Personal,True,184549.81,True,19.4,1,0,TX,Urban,True,22319.297099774183,55719.05631059708,1,2024-04-14 12:07:44.875501
37,Male,Married,Some College,Employed,2.8,305432.62,4226.48,606.0,5.4,5,35522.13,1065.6640292901964,0.252,9954.05,72,Auto,True,141120.68,True,3.6,0,0,MI,Suburban,False,0.0,50717.737461297234,0,2024-08-16 12:07:44.875501
43,Female,Married,Some College,Employed,7.0,48342.05,4028.5,474.0,20.2,2,62532.46,1875.973804428035,0.466,1000.0,60,Business,True,149284.07,True,1.5,2,0,TX,Suburban,False,0.0,48342.052062800765,1,2023-12-20 12:07:44.875501
37,Female,Married,Bachelor's,Employed,9.2,54134.07,4511.17,473.0,11.0,5,6613.66,198.40990318147624,0.044,45460.3,36,Home Improvement,True,236112.05,True,15.4,0,0,OH,Rural,False,0.0,54134.066254176716,1,2023-12-10 12:07:44.875501
33,Female,Single,Bachelor's,Employed,19.4,55284.77,4607.06,575.0,14.8,6,12049.53,361.4860379165849,0.078,22787.91,48,Education,True,168010.08,True,8.5,2,0,TX,Suburban,False,0.0,55284.76756319512,0,2024-09-30 12:07:44.875501
31,Female,Single,Advanced,Unemployed,0.4,6660.63,555.05,703.0,13.1,1,13512.2,405.36591695978973,0.73,19128.55,48,Other,True,177377.84,True,9.7,0,0,NY,Urban,False,0.0,6660.6327403031555,1,2023-12-15 12:07:44.875501
18,Female,Single,High School,Employed,1.2,42078.59,3506.55,678.0,3.9,4,46741.07,1402.2319629941603,0.4,42474.76,48,Personal,False,0.0,True,13.2,0,0,NY,Urban,True,60715.00872870287,102793.59549145564,1,2024-09-08 12:07:44.875501
26,Male,Married,Bachelor's,Self-employed,7.1,67590.39,5632.53,648.0,9.9,1,3681.11,110.43333054743216,0.02,16144.34,24,Debt Consolidation,True,186547.6,True,11.1,2,0,FL,Suburban,True,44214.68702302814,111805.07665050201,1,2024-08-24 12:07:44.875501
29,Male,Married,Bachelor's,Employed,3.9,30714.99,2559.58,561.0,11.2,2,24390.68,731.7204695365718,0.286,36434.79,36,Home Improvement,True,273654.81,True,13.2,1,0,FL,Rural,True,69247.91181645534,99962.89963178823,1,2025-05-17 12:07:44.875501
47,Male,Married,Bachelor's,Employed,2.0,51651.36,4304.28,684.0,1.8,1,10805.8,324.1740937331508,0.075,25355.84,12,Medical,True,133884.01,True,1.8,0,0,TX,Urban,False,0.0,51651.359077876696,1,2024-06-03 12:07:44.875501
39,Male,Single,Advanced,Employed,1.2,71888.66,5990.72,470.0,15.7,5,54182.6,1625.4778718534776,0.271,28704.37,84,Education,False,0.0,True,6.7,0,0,Other,Rural,False,0.0,71888.66363111867,1,2023-10-21 12:07:44.875501
18,Female,Married,Some College,Employed,1.6,46751.2,3895.93,410.0,4.9,2,10379.97,311.39898248891154,0.08,49439.0,96,Debt Consolidation,True,78954.9,False,0.0,4,0,Other,Suburban,False,0.0,46751.197113707254,0,2024-12-20 12:07:44.875501
38,Female,Single,High School,Self-employed,2.8,66312.0,5526.0,625.0,0.1,3,95356.86,2860.7056520249557,0.518,17666.24,84,Business,False,0.0,True,2.4,0,0,Other,Urban,True,25823.412726389055,92135.41770677573,1,2025-03-09 12:07:44.875501
30,Female,Divorced,Bachelor's,Employed,1.0,68641.9,5720.16,595.0,8.2,5,393.89,11.81668413720307,0.002,16295.34,96,Auto,False,0.0,True,36.1,0,0,PA,Rural,False,0.0,68641.904968988,1,2024-01-12 12:07:44.875501
26,Male,Widowed,Some College,Employed,16.7,29332.63,2444.39,751.0,9.0,4,6846.24,205.3872596704073,0.084,21966.46,96,Debt Consolidation,True,329437.36,False,0.0,1,0,Other,Rural,True,28461.205771488887,57793.834140532446,1,2024-09-28 12:07:44.875501
42,Female,Single,High School,Employed,0.6,37333.97,3111.16,665.0,6.4,4,15280.93,458.42785065453813,0.147,6956.7,72,Debt Consolidation,True,210711.28,True,17.2,0,0,CA,Urban,True,21156.712395311806,58490.67866644149,1,2023-11-26 12:07:44.875501
47,Male,Single,Some College,Employed,21.2,39395.94,3283.0,815.0,1.9,1,7403.77,222.11295509494107,0.068,39046.37,48,Auto,True,165934.41,False,0.0,1,0,PA,Rural,True,64331.65686839764,103727.59710634826,1,2025-03-25 12:07:44.875501
46,Male,Single,Some College,Employed,9.2,44921.73,3743.48,595.0,5.3,4,33427.47,1002.8239555251972,0.268,37053.09,36,Auto,True,61050.07,True,0.3,0,0,IL,Urban,False,0.0,44921.72724071069,1,2024-07-03 12:07:44.875501
24,Female,Married,Bachelor's,Self-employed,2.8,65921.29,5493.44,698.0,4.1,3,42124.45,1263.7334225422755,0.23,24859.64,72,Medical,False,0.0,True,0.2,1,0,CA,Suburban,False,0.0,65921.29104425832,1,2025-06-11 12:07:44.875501
31,Female,Married,Some College,Self-employed,6.7,67208.87,5600.74,624.0,29.4,2,29892.51,896.7753225744785,0.16,11138.36,36,Auto,False,0.0,True,14.1,1,0,Other,Urban,False,0.0,67208.86805558072,1,2025-06-01 12:07:44.875501
38,Female,Married,Bachelor's,Self-employed,5.6,70681.47,5890.12,788.0,13.9,5,87998.24,2639.9472595515,0.448,1000.0,36,Education,True,,True,5.5,2,0,GA,Suburban,False,0.0,70681.4687869262,1,2024-09-11 12:07:44.875501
46,Male,Single,Bachelor's,Employed,1.2,82071.99,6839.33,629.0,11.5,3,15221.9,456.6569177482319,0.067,12494.79,60,Personal,False,0.0,True,2.6,0,0,Other,Urban,False,0.0,82071.99011458812,1,2025-04-20 12:07:44.875501
29,Male,Married,Bachelor's,Employed,2.1,60302.07,5025.17,735.0,1.6,2,97514.46,2925.4338847628856,0.582,21533.13,84,Auto,False,0.0,True,11.5,0,0,NY,Suburban,False,0.0,60302.069028571925,0,2024-03-21 12:07:44.875501
32,Male,Married,Advanced,Employed,3.6,43404.65,3617.05,542.0,3.2,3,3327.16,99.81487337500828,0.028,1000.0,72,Business,True,347840.16,True,7.2,1,0,Other,Suburban,True,37631.46768403062,81036.11415526143,1,2025-08-28 12:07:44.875501
21,Male,Single,High School,Self-employed,5.1,39028.21,3252.35,608.0,3.8,3,46761.08,1402.832514874116,0.431,62417.5,12,Debt Consolidation,True,308421.56,True,6.8,1,0,Other,Suburban,False,0.0,39028.21209277018,1,2023-11-17 12:07:44.875501
20,Female,Married,Advanced,Employed,3.9,80698.52,6724.88,641.0,5.4,4,979.99,29.399740340349396,0.004,31232.76,48,Debt Consolidation,True,223627.89,True,11.2,1,0,OH,Rural,False,0.0,80698.51583902573,1,2023-10-23 12:07:44.875501
44,Female,Single,Bachelor's,Employed,3.2,19488.3,1624.02,776.0,0.2,2,18977.72,569.3315415685842,0.351,33166.3,12,Medical,True,209284.23,True,4.4,0,0,Other,Urban,True,18499.37745962478,37987.6756404997,1,2025-07-15 12:07:44.875501
51,Female,Married,Advanced,Employed,2.9,30007.11,2500.59,430.0,7.2,5,16564.07,496.9221824080976,0.199,22750.01,12,Business,True,186556.7,True,1.2,2,0,Other,Suburban,False,0.0,30007.109216238827,1,2024-04-27 12:07:44.875501
34,Male,Divorced,Bachelor's,Employed,3.4,55235.34,4602.94,616.0,3.5,7,48500.62,1455.018614072058,0.316,36063.05,60,Other,True,99400.29,True,17.5,0,0,Other,Rural,False,0.0,55235.33855675507,1,2024-06-29 12:07:44.875501
47,Female,Single,Bachelor's,Employed,2.8,75920.29,6326.69,613.0,6.6,5,30160.43,904.8129427480354,0.143,20486.82,12,Medical,True,268829.73,True,14.0,0,0,NC,Suburban,False,0.0,75920.28660746566,1,2023-11-27 12:07:44.875501
39,Male,Divorced,Advanced,Employed,3.9,98982.92,8248.58,442.0,0.1,3,14542.67,436.28019037772685,0.053,22570.44,84,Education,True,184360.53,True,2.0,0,0,OH,Rural,True,34796.22557226092,133779.14680308773,1,2024-05-02 12:07:44.875501
27,Female,Married,Advanced,Retired,10.9,23742.1,1978.51,603.0,3.1,4,56505.28,1695.158416348998,0.857,46074.78,12,Medical,True,258424.06,True,2.8,0,0,Other,Urban,False,0.0,23742.100230973578,0,2023-12-19 12:07:44.875501
39,Male,Single,Some College,Self-employed,5.0,76913.9,6409.49,495.0,11.7,6,54260.3,1627.8088855281233,0.254,41469.96,36,Debt Consolidation,False,0.0,True,12.0,3,1,Other,Rural,True,33553.4607262601,110467.36036515521,1,2024-09-30 12:07:44.875501
53,Male,Married,Some College,Employed,6.4,46300.82,3858.4,416.0,5.6,2,626.07,18.782102295896387,0.005,24835.79,36,Auto,True,229040.8,True,25.1,0,0,CA,Urban,False,0.0,46300.822375840165,1,2024-06-17 12:07:44.875501
34,Male,Married,Bachelor's,Unemployed,4.6,2130.89,177.57,623.0,12.4,3,51202.17,1536.0651824852719,2.0,55337.11,48,Auto,True,161579.65,True,10.5,0,0,IL,Urban,True,65947.14595617169,68078.03299523659,1,2024-12-14 12:07:44.875501
53,Female,Single,Advanced,Employed,5.2,64790.01,5399.17,620.0,9.6,2,18694.59,560.8377375628669,0.104,23769.64,84,Home Improvement,True,205561.19,True,0.4,1,0,TX,Urban,False,0.0,64790.01005156239,1,2025-06-18 12:07:44.875501
18,Male,Single,Some College,Unemployed,4.3,3385.97,282.16,625.0,15.4,3,45652.69,1369.580751156308,2.0,17413.21,24,Medical,True,263794.63,True,3.7,0,0,Other,Suburban,False,0.0,3385.9653756812077,1,2024-09-14 12:07:44.875501
44,Male,Single,Bachelor's,Employed,0.1,75201.08,6266.76,675.0,0.1,1,5001.66,150.04978828015547,0.024,26904.36,48,Auto,False,0.0,True,10.5,1,0,Other,Urban,False,0.0,75201.0793705103,1,2024-02-20 12:07:44.875501
36,Female,Single,Bachelor's,Employed,39.1,54435.14,4536.26,562.0,2.4,3,4095.22,122.85645532730346,0.027,29513.2,48,Debt Consolidation,False,0.0,True,4.4,0,0,Other,Rural,False,0.0,54435.144272201294,1,2024-09-20 12:07:44.875501
31,Male,Single,Advanced,Employed,0.2,31774.26,2647.85,829.0,6.4,4,32021.63,960.648879263057,0.363,7113.91,84,Auto,True,153762.59,True,7.9,0,0,MI,Urban,True,71961.1525240339,103735.41175356567,1,2024-09-04 12:07:44.875501
36,Male,Single,Bachelor's,Employed,2.5,22006.27,1833.86,646.0,22.6,1,8051.93,241.55783891384965,0.132,32312.24,36,Education,False,0.0,True,0.3,0,0,Other,Urban,False,0.0,22006.274160011697,1,2024-04-08 12:07:44.875501
18,Male,Single,Bachelor's,Employed,0.6,54538.44,4544.87,778.0,9.1,0,20458.72,613.7616807526832,0.135,56720.18,12,Medical,False,0.0,True,1.7,0,0,Other,Suburban,False,0.0,54538.44093688208,1,2025-07-24 12:07:44.875501
32,Male,Divorced,Advanced,Employed,0.5,2074.35,172.86,482.0,4.9,4,29184.24,875.5270648374448,2.0,39251.0,84,Debt Consolidation,True,316022.41,True,10.0,1,0,Other,Suburban,False,0.0,2074.3457420476575,1,2024-06-06 12:07:44.875501
39,Female,Single,Bachelor's,Retired,7.9,17440.15,1453.35,566.0,1.1,3,23566.35,706.9904857080242,0.486,34961.04,60,Debt Consolidation,True,237386.69,True,1.5,2,0,MI,Rural,True,50708.82801844759,68148.97346796206,1,2025-08-25 12:07:44.875501
52,Female,Married,Bachelor's,Employed,2.8,60082.67,5006.89,718.0,5.4,2,30013.26,900.3977359012451,0.18,32206.04,72,Personal,False,0.0,True,24.8,0,0,TX,Urban,True,41099.2854811678,101181.95264751033,1,2025-08-06 12:07:44.875501
28,Male,Married,Some College,Employed,8.1,25973.7,2164.48,627.0,4.7,5,24213.12,726.3935147796137,0.336,10032.29,96,Personal,True,205520.41,True,3.2,2,0,Other,Suburban,True,40374.45148370836,66348.15441071193,1,2025-07-01 12:07:44.875501
25,Female,Married,Bachelor's,Self-employed,1.6,92241.26,7686.77,542.0,12.1,2,11915.76,357.47279073894,0.047,10053.13,96,Business,False,0.0,True,1.5,1,0,Other,Urban,False,0.0,92241.26094230072,1,2023-11-19 12:07:44.875501
28,Male,Single,Some College,Employed,1.5,66438.12,5536.51,466.0,4.3,3,2371.35,71.14060578434392,0.013,27446.69,84,Home Improvement,True,276581.69,True,1.5,1,0,IL,Suburban,True,24242.78391152995,90680.90180704242,1,2025-05-22 12:07:44.875501
45,Male,Divorced,Some College,Employed,1.4,26699.38,2224.95,723.0,3.1,4,48335.12,1450.0535285907213,0.652,18577.03,48,Auto,True,287168.05,True,1.3,1,0,GA,Urban,False,0.0,26699.38285046487,1,2025-06-18 12:07:44.875501
38,Male,Married,Bachelor's,Employed,4.8,48443.03,4036.92,715.0,0.8,1,46771.4,1403.142040417421,0.348,3300.22,96,Home Improvement,False,0.0,True,3.0,1,0,Other,Urban,False,0.0,48443.028167677294,1,2024-02-29 12:07:44.875501
28,Male,Divorced,Bachelor's,Employed,8.4,76883.25,6406.94,674.0,0.4,2,142.38,4.271437293933667,0.001,19741.1,24,Education,True,236637.74,True,6.1,1,0,Other,Suburban,False,0.0,76883.24932907238,1,2025-03-06 12:07:44.875501
41,Male,Single,Bachelor's,Self-employed,3.0,65965.48,5497.12,600.0,4.6,0,45950.14,1378.5041305787283,0.251,31760.23,48,Medical,True,167442.61,True,15.0,1,0,TX,Urban,False,0.0,65965.48109566564,1,2024-05-14 12:07:44.875501
36,Female,Single,Some College,Employed,2.4,19899.39,1658.28,538.0,3.4,5,4092.07,122.76218094167892,0.074,33704.53,12,Education,True,228102.4,True,19.0,3,0,TX,Suburban,False,0.0,19899.385594217645,1,2024-02-21 12:07:44.875501
46,Female,Married,Bachelor's,Employed,18.2,51846.94,4320.58,644.0,6.5,2,10118.98,303.5694464041089,0.07,12508.58,48,Auto,True,204489.02,True,6.4,2,1,CA,Suburban,False,0.0,51846.93649158424,0,2024-12-23 12:07:44.875501
26,Male,Single,Bachelor's,Employed,0.6,36235.58,3019.63,518.0,10.0,5,13333.11,399.99343032801494,0.132,24311.27,12,Auto,False,0.0,True,7.0,0,0,Other,Urban,False,0.0,36235.57690949154,0,2024-09-29 12:07:44.875501
31,Female,Married,Bachelor's,Employed,3.3,79380.35,6615.03,574.0,0.3,3,28457.03,853.7110131110854,0.129,31221.51,12,Medical,True,167655.87,True,5.2,0,0,CA,Suburban,True,56108.833846069596,135489.1875674391,1,2024-06-09 12:07:44.875501
30,Female,Single,Some College,Unemployed,2.6,5590.68,465.89,776.0,5.5,2,2424.21,72.72644100276236,0.156,5976.06,60,Home Improvement,True,243815.67,True,2.9,0,0,Other,Urban,False,0.0,5590.677769784261,1,2025-06-23 12:07:44.875501
18,Female,Married,Bachelor's,Self-employed,0.5,57716.82,4809.73,464.0,15.8,2,43810.43,1314.3128720819768,0.273,13413.48,60,Home Improvement,True,251006.52,True,5.3,0,0,NY,Suburban,False,0.0,57716.816644987426,0,2025-08-11 12:07:44.875501
38,Female,Widowed,Advanced,Employed,1.6,68695.85,5724.65,717.0,4.9,2,71507.22,2145.2167273645873,0.375,24802.15,72,Home Improvement,True,144319.11,True,1.3,3,0,PA,Suburban,False,0.0,68695.84832578106,1,2025-03-30 12:07:44.875501
38,Male,Married,Some College,Employed,0.1,21453.81,1787.82,799.0,5.9,5,76278.94,2288.3682325141544,1.28,11361.82,72,Business,True,225279.22,True,2.7,0,0,Other,Suburban,False,0.0,21453.811614495244,1,2024-04-18 12:07:44.875501
35,Female,Divorced,Some College,Employed,10.5,31432.01,2619.33,731.0,5.3,2,2408.31,72.2493779027887,0.028,20080.94,48,Education,False,0.0,False,0.0,0,0,CA,Urban,False,0.0,31432.00574596299,1,2025-08-08 12:07:44.875501
32,Female,Married,Bachelor's,Employed,4.7,89172.14,7431.01,689.0,4.0,4,62950.29,1888.508749912838,0.254,62436.75,72,Auto,False,0.0,True,12.8,0,0,MI,Urban,True,44778.20607458452,133950.34820381936,1,2024-08-04 12:07:44.875501
18,Female,Married,Bachelor's,Employed,8.4,56177.32,4681.44,603.0,0.9,2,20973.34,629.2002731178948,0.134,2391.63,60,Home Improvement,True,309519.26,True,1.2,1,0,PA,Suburban,True,34627.02982797311,90804.3521847258,1,2023-11-03 12:07:44.875501
29,Male,Divorced,Bachelor's,Self-employed,3.7,90554.27,7546.19,585.0,1.1,3,32450.55,973.5163818820447,0.129,46369.87,24,Medical,False,0.0,True,9.6,0,0,CA,Suburban,False,0.0,90554.26524649205,1,2024-04-28 12:07:44.875501
30,Male,Divorced,Bachelor's,Employed,4.6,60104.29,5008.69,425.0,1.6,4,66695.52,2000.865716859156,0.399,30124.98,84,Other,True,228905.58,True,0.5,2,0,NY,Urban,False,0.0,60104.28794497663,1,2023-10-09 12:07:44.875501
25,Male,Married,Some College,Employed,6.0,68657.07,5721.42,653.0,12.6,1,27043.54,811.3063269797485,0.142,6639.72,36,Personal,True,57519.24,True,7.5,0,0,Other,Suburban,False,0.0,68657.07317453144,1,2024-07-26 12:07:44.875501
33,Male,Single,Some College,Employed,11.9,9020.92,751.74,609.0,2.6,3,15254.16,457.62467394331895,0.609,35178.85,72,Auto,False,0.0,True,10.2,1,1,Other,Suburban,False,0.0,9020.924413214045,1,2024-10-21 12:07:44.875501
39,Male,Married,Some College,Employed,0.5,41612.08,3467.67,580.0,23.7,2,18616.9,558.5069560053123,0.161,25643.5,84,Auto,True,182335.78,True,0.7,2,0,TX,Urban,False,0.0,41612.08348765788,1,2024-06-07 12:07:44.875501
